neg_bin,commissionRateByMaxPercent,commissionRateByMaxPercent
"(-0.01, 0.01]",1.622279408931145,1.622279408931145
"(0.01, 0.1]",0.6627834798589152,0.6627834798589152
"(0.1, 0.5]",1.3073364811075128,1.3073364811075128
"(0.5, 0.75]",,
"(0.75, 0.8]",,
"(0.8, 0.85]",,
"(0.85, 0.9]",0.0017500000000000003,0.0017500000000000003
"(0.9, 0.91]",,
"(0.91, 0.92]",,
"(0.92, 0.93]",,
"(0.93, 0.94]",,
"(0.94, 0.95]",,
"(0.95, 0.96]",,
"(0.96, 0.97]",,
"(0.97, 0.98]",,
"(0.98, 0.99]",,
"(0.99, 1.0]",0.001814326475840107,0.001814326475840107
