neg_bin,asset,commissionRateByMaxPercent,commissionRateByMaxPercent
"(-0.01, 0.01]",BNB,0.17020451726295832,0.17020451726295832
"(-0.01, 0.01]",BTC,13.841660721916206,13.841660721916206
"(-0.01, 0.01]",BUSD,0.0006895229349516813,0.0006895229349516813
"(-0.01, 0.01]",DOGE,0.0001641126120869438,0.0001641126120869438
"(-0.01, 0.01]",ETH,0.6691526641976141,0.6691526641976141
"(-0.01, 0.01]",USDT,0.0011652916225001518,0.0011652916225001518
"(-0.01, 0.01]",XRP,5.18000000000518e-05,5.18000000000518e-05
"(0.01, 0.1]",BNB,0.06898764401973355,0.06898764401973355
"(0.01, 0.1]",BTC,5.405547046048289,5.405547046048289
"(0.01, 0.1]",BUSD,0.000650735622027493,0.000650735622027493
"(0.01, 0.1]",DOGE,2.8829326409685215e-05,2.8829326409685215e-05
"(0.01, 0.1]",ETH,0.27666572951050505,0.27666572951050505
"(0.01, 0.1]",USDT,0.0010792027278425731,0.0010792027278425731
"(0.01, 0.1]",XRP,9.913750000002907e-06,9.913750000002907e-06
"(0.1, 0.5]",BNB,0.008522974597478793,0.008522974597478793
"(0.1, 0.5]",BTC,7.635854291724016,7.635854291724016
"(0.1, 0.5]",BUSD,0.0012225931342252634,0.0012225931342252634
"(0.1, 0.5]",DOGE,,
"(0.1, 0.5]",ETH,0.06430664992032918,0.06430664992032918
"(0.1, 0.5]",USDT,0.0009549318565751429,0.0009549318565751429
"(0.1, 0.5]",XRP,,
"(0.5, 0.75]",BNB,,
"(0.5, 0.75]",BTC,,
"(0.5, 0.75]",BUSD,,
"(0.5, 0.75]",DOGE,,
"(0.5, 0.75]",ETH,,
"(0.5, 0.75]",USDT,,
"(0.5, 0.75]",XRP,,
"(0.75, 0.8]",BNB,,
"(0.75, 0.8]",BTC,,
"(0.75, 0.8]",BUSD,,
"(0.75, 0.8]",DOGE,,
"(0.75, 0.8]",ETH,,
"(0.75, 0.8]",USDT,,
"(0.75, 0.8]",XRP,,
"(0.8, 0.85]",BNB,,
"(0.8, 0.85]",BTC,,
"(0.8, 0.85]",BUSD,,
"(0.8, 0.85]",DOGE,,
"(0.8, 0.85]",ETH,,
"(0.8, 0.85]",USDT,,
"(0.8, 0.85]",XRP,,
"(0.85, 0.9]",BNB,,
"(0.85, 0.9]",BTC,,
"(0.85, 0.9]",BUSD,,
"(0.85, 0.9]",DOGE,,
"(0.85, 0.9]",ETH,,
"(0.85, 0.9]",USDT,0.0017500000000000003,0.0017500000000000003
"(0.85, 0.9]",XRP,,
"(0.9, 0.91]",BNB,,
"(0.9, 0.91]",BTC,,
"(0.9, 0.91]",BUSD,,
"(0.9, 0.91]",DOGE,,
"(0.9, 0.91]",ETH,,
"(0.9, 0.91]",USDT,,
"(0.9, 0.91]",XRP,,
"(0.91, 0.92]",BNB,,
"(0.91, 0.92]",BTC,,
"(0.91, 0.92]",BUSD,,
"(0.91, 0.92]",DOGE,,
"(0.91, 0.92]",ETH,,
"(0.91, 0.92]",USDT,,
"(0.91, 0.92]",XRP,,
"(0.92, 0.93]",BNB,,
"(0.92, 0.93]",BTC,,
"(0.92, 0.93]",BUSD,,
"(0.92, 0.93]",DOGE,,
"(0.92, 0.93]",ETH,,
"(0.92, 0.93]",USDT,,
"(0.92, 0.93]",XRP,,
"(0.93, 0.94]",BNB,,
"(0.93, 0.94]",BTC,,
"(0.93, 0.94]",BUSD,,
"(0.93, 0.94]",DOGE,,
"(0.93, 0.94]",ETH,,
"(0.93, 0.94]",USDT,,
"(0.93, 0.94]",XRP,,
"(0.94, 0.95]",BNB,,
"(0.94, 0.95]",BTC,,
"(0.94, 0.95]",BUSD,,
"(0.94, 0.95]",DOGE,,
"(0.94, 0.95]",ETH,,
"(0.94, 0.95]",USDT,,
"(0.94, 0.95]",XRP,,
"(0.95, 0.96]",BNB,,
"(0.95, 0.96]",BTC,,
"(0.95, 0.96]",BUSD,,
"(0.95, 0.96]",DOGE,,
"(0.95, 0.96]",ETH,,
"(0.95, 0.96]",USDT,,
"(0.95, 0.96]",XRP,,
"(0.96, 0.97]",BNB,,
"(0.96, 0.97]",BTC,,
"(0.96, 0.97]",BUSD,,
"(0.96, 0.97]",DOGE,,
"(0.96, 0.97]",ETH,,
"(0.96, 0.97]",USDT,,
"(0.96, 0.97]",XRP,,
"(0.97, 0.98]",BNB,,
"(0.97, 0.98]",BTC,,
"(0.97, 0.98]",BUSD,,
"(0.97, 0.98]",DOGE,,
"(0.97, 0.98]",ETH,,
"(0.97, 0.98]",USDT,,
"(0.97, 0.98]",XRP,,
"(0.98, 0.99]",BNB,,
"(0.98, 0.99]",BTC,,
"(0.98, 0.99]",BUSD,,
"(0.98, 0.99]",DOGE,,
"(0.98, 0.99]",ETH,,
"(0.98, 0.99]",USDT,,
"(0.98, 0.99]",XRP,,
"(0.99, 1.0]",BNB,,
"(0.99, 1.0]",BTC,,
"(0.99, 1.0]",BUSD,,
"(0.99, 1.0]",DOGE,,
"(0.99, 1.0]",ETH,,
"(0.99, 1.0]",USDT,0.001814326475840107,0.001814326475840107
"(0.99, 1.0]",XRP,,
