net_bin,commissionRateByMaxPercent,commissionRateByMaxPercent
"(-0.01, 0.01]",0.01137858514724712,0.01137858514724712
"(0.01, 0.1]",,
"(0.1, 0.5]",0.1100469533522717,0.1100469533522717
"(0.5, 0.75]",1.7502897468770349,1.7502897468770349
"(0.75, 0.8]",0.6799109938077244,0.6799109938077244
"(0.8, 0.85]",0.11369573836588871,0.11369573836588871
"(0.85, 0.9]",0.5018234099416258,0.5018234099416258
"(0.9, 0.91]",,
"(0.91, 0.92]",1.2222686884503948,1.2222686884503948
"(0.92, 0.93]",,
"(0.93, 0.94]",0.8536597756197345,0.8536597756197345
"(0.94, 0.95]",0.000556660636598567,0.000556660636598567
"(0.95, 0.96]",0.5451589995577437,0.5451589995577437
"(0.96, 0.97]",,
"(0.97, 0.98]",1.3836691110476926,1.3836691110476926
"(0.98, 0.99]",,
"(0.99, 1.0]",1.738405014230572,1.738405014230572
