identifier,Count,percentage,totalPayMethods
7Eleven,1,0.007788768595685022,12839
ABA,169,1.3163018926707688,12839
ABBBANK,3,0.023366305787055067,12839
ABNAMRO,1,0.007788768595685022,12839
ABank,55,0.4283822727626762,12839
ACLEDA,44,0.34270581821014096,12839
ADIB,1,0.007788768595685022,12839
ALIPAY,18,0.1401978347223304,12839
AbsolutBank,1,0.007788768595685022,12839
AccessBank,7,0.05452138016979516,12839
Advcash,204,1.5889087935197446,12839
Afriex,1,0.007788768595685022,12839
AirTM,400,3.1155074382740087,12839
Akbank,5,0.03894384297842511,12839
AliorBank,5,0.03894384297842511,12839
AlliedBankLimited,5,0.03894384297842511,12839
AltynBank,64,0.4984811901238414,12839
Ameriabank,60,0.46732611574110133,12839
Anorbank,2,0.015577537191370044,12839
Apelsin,23,0.1791416777007555,12839
ApplePay,9,0.0700989173611652,12839
ArabBank,1,0.007788768595685022,12839
ArmBusinessBank,1,0.007788768595685022,12839
AsakaBank,2,0.015577537191370044,12839
AzerTurkBank,2,0.015577537191370044,12839
BACCredomatic,19,0.14798660331801541,12839
BACcostarica,63,0.4906924215281564,12839
BAKAIBANK,60,0.46732611574110133,12839
BANK,294,2.2898979671313966,12839
BANKTRANSFERRON,1,0.007788768595685022,12839
BASISBANK,1,0.007788768595685022,12839
BBVABank,92,0.716566710803022,12839
BBVAUruguay,1,0.007788768595685022,12839
BCAMobile,6,0.046732611574110135,12839
BCH,3,0.023366305787055067,12839
BCRBank,16,0.12462029753096035,12839
BDO,9,0.0700989173611652,12839
BNPParibas,4,0.031155074382740088,12839
BPI,10,0.07788768595685022,12839
Bakong,22,0.17135290910507048,12839
BancoAgricolaSV,14,0.10904276033959032,12839
BancoAtlantida,2,0.015577537191370044,12839
BancoBACCredomaticSV,12,0.09346522314822027,12839
BancoBolivariano,34,0.26481813225329076,12839
BancoBrubankNew,32,0.2492405950619207,12839
BancoContinentalPar,1,0.007788768595685022,12839
BancoDaviviendaSV,8,0.062310148765480175,12839
BancoDeCostaRica,52,0.40501596697562114,12839
BancoDeCredito,148,1.1527377521613833,12839
BancoDeVenezuela,11,0.08567645455253524,12839
BancoDelPacifico,49,0.3816496611885661,12839
BancoDelSol,13,0.10125399174390529,12839
BancoEstado,8,0.062310148765480175,12839
BancoFalabella,9,0.0700989173611652,12839
BancoFassil,1,0.007788768595685022,12839
BancoGanadero,2,0.015577537191370044,12839
BancoGeneralPanama,83,0.6464677934418569,12839
BancoGuayaquil,165,1.2851468182880286,12839
BancoHipotecario,4,0.031155074382740088,12839
BancoIndustrial,3,0.023366305787055067,12839
BancoLafiseNicaragua,4,0.031155074382740088,12839
BancoPichincha,311,2.422307033258042,12839
BancoPopular,4,0.031155074382740088,12839
BancoPromericaSV,11,0.08567645455253524,12839
BancoSantanderChile,8,0.062310148765480175,12839
BancoSantanderSpain,1,0.007788768595685022,12839
BancoUnion,3,0.023366305787055067,12839
BancodeBogota,2,0.015577537191370044,12839
BancodeChile,6,0.046732611574110135,12839
BancolombiaSA,18,0.1401978347223304,12839
BandesUruguay,2,0.015577537191370044,12839
Banesco,12,0.09346522314822027,12839
BanescoPanama,137,1.067061297608848,12839
BanistmoPanama,41,0.3193395124230859,12839
BankArgentina,38,0.29597320663603083,12839
BankIndia,25,0.19471921489212554,12839
BankPekao,2,0.015577537191370044,12839
BankRBK,8,0.062310148765480175,12839
