tradeMethodName,Count,percentage,totalPayMethods
A-Bank,6,0.10183299389002037,5892
ABA,114,1.934826883910387,5892
ACLEDA,43,0.7298031228784793,5892
Advcash,191,3.241683638832315,5892
Afriex,2,0.03394433129667346,5892
Afriland First Bank,1,0.01697216564833673,5892
Agrobank,1,0.01697216564833673,5892
AirTM,265,4.497623896809233,5892
Airtel Money,1,0.01697216564833673,5892
Akbank,4,0.06788866259334692,5892
Alipay,17,0.28852681602172436,5892
"Allied Bank Limited, Wholesale Branch",1,0.01697216564833673,5892
Altyn Bank,12,0.20366598778004075,5892
Apple Pay,2,0.03394433129667346,5892
Azer Turk Bank,1,0.01697216564833673,5892
BAC Costa Rica,24,0.4073319755600815,5892
BAC Credomatic,22,0.37338764426340804,5892
BBVA,34,0.5770536320434487,5892
BBVA Uruguay,4,0.06788866259334692,5892
BCR Bank,4,0.06788866259334692,5892
Bakong,21,0.3564154786150713,5892
BanBif,3,0.05091649694501019,5892
Banco Agricola SV,8,0.13577732518669383,5892
Banco BAC Credomatic SV,6,0.10183299389002037,5892
Banco Bolivariano,34,0.5770536320434487,5892
Banco Brubank,9,0.15274949083503056,5892
Banco Estado,1,0.01697216564833673,5892
Banco Falabella,1,0.01697216564833673,5892
Banco General Panama,74,1.2559402579769179,5892
Banco Guayaquil,107,1.8160217243720298,5892
Banco Hipotecario SV,1,0.01697216564833673,5892
Banco Lafise Nicaragua,4,0.06788866259334692,5892
Banco Pichincha,166,2.8173794976238966,5892
Banco Santander Argentina,3,0.05091649694501019,5892
Banco Santander Uruguay,12,0.20366598778004075,5892
Banco de Costa Rica,17,0.28852681602172436,5892
Banco de Credito,46,0.7807196198234895,5892
Banco del Sol,4,0.06788866259334692,5892
Banco del pacifico,51,0.8655804480651731,5892
Bancolombia S.A,10,0.1697216564833673,5892
Banesco,2,0.03394433129667346,5892
Banesco Panama,109,1.8499660556687034,5892
Banistmo Panama,47,0.7976917854718262,5892
Bank RBK,3,0.05091649694501019,5892
Bank Transfer,48,0.814663951120163,5892
Bank Transfer (Argentina),25,0.4243041412084182,5892
Bank Transfer (Brazil),1,0.01697216564833673,5892
Bank Transfer (Cambodia),7,0.11880515953835709,5892
Bank Transfer (Costa Rica),7,0.11880515953835709,5892
Bank Transfer (India),16,0.27155465037338766,5892
Bank Transfer (Turkey),16,0.27155465037338766,5892
Bank Transfer (Venezuela),1,0.01697216564833673,5892
Bank Transfer (Vietnam),1,0.01697216564833673,5892
Bank Transfer Peru,4,0.06788866259334692,5892
Bank of America,47,0.7976917854718262,5892
Bank of Georgia,147,2.494908350305499,5892
Bank of the Republic of Uruguay,13,0.22063815342837745,5892
BinancePay (RUB),1,0.01697216564833673,5892
BinancePay (UAH),2,0.03394433129667346,5892
Blik,2,0.03394433129667346,5892
CIBC,1,0.01697216564833673,5892
CIMB Niaga,1,0.01697216564833673,5892
Canadia,4,0.06788866259334692,5892
Cash Deposit to Bank,13,0.22063815342837745,5892
Cash app,43,0.7298031228784793,5892
Cash in Person,11,0.18669382213170402,5892
CenterCredit Bank,18,0.3054989816700611,5892
Chipper Cash,1,0.01697216564833673,5892
Coins.ph,3,0.05091649694501019,5892
Credit Bank of Peru,78,1.3238289205702647,5892
Credo Bank,9,0.15274949083503056,5892
Daviplata,2,0.03394433129667346,5892
Davivienda S.A,9,0.15274949083503056,5892
DenizBank,29,0.4921928038017651,5892
Dukascopy Bank,1,0.01697216564833673,5892
Easypaisa-PK Only,7,0.11880515953835709,5892
Ecobank,1,0.01697216564833673,5892
Eurasian Bank,6,0.10183299389002037,5892
EziPay,5,0.08486082824168364,5892
Facebank International,16,0.27155465037338766,5892
Faster Payment System (FPS),2,0.03394433129667346,5892
Fibabanka,1,0.01697216564833673,5892
FinComBank,1,0.01697216564833673,5892
ForteBank,10,0.1697216564833673,5892
Freedom Bank,5,0.08486082824168364,5892
Garanti,3,0.05091649694501019,5892
Gcash,6,0.10183299389002037,5892
Global Bank Panama,7,0.11880515953835709,5892
Google Pay (GPay),18,0.3054989816700611,5892
Halyk Bank,18,0.3054989816700611,5892
Humo,1,0.01697216564833673,5892
IMPS,3,0.05091649694501019,5892
ING,2,0.03394433129667346,5892
Inecobank,1,0.01697216564833673,5892
Interac e-Transfer,2,0.03394433129667346,5892
Interbank,78,1.3238289205702647,5892
International Wire (SWIFT),19,0.3224711473183978,5892
Itaú Uruguay,13,0.22063815342837745,5892
Jysan Bank,13,0.22063815342837745,5892
KHQR,32,0.5431093007467753,5892
Kapitalbank,41,0.6958587915818059,5892
Kaspi Bank,8,0.13577732518669383,5892
KoronaPay,4,0.06788866259334692,5892
Kuveyt Turk,14,0.23761031907671418,5892
Lemon Cash,1,0.01697216564833673,5892
Leobank,3,0.05091649694501019,5892
Liberty Bank,18,0.3054989816700611,5892
M-PESA Kenya (Safaricom),1,0.01697216564833673,5892
M-pesa (Vodafone),1,0.01697216564833673,5892
MAIB,32,0.5431093007467753,5892
MICB,38,0.6449422946367956,5892
MTN Mobile Money,2,0.03394433129667346,5892
Meezan Bank,5,0.08486082824168364,5892
Mercantil,2,0.03394433129667346,5892
